sensor A4,sensor A5,sensor A6,sensor A7,sensor A8,sensor A9,sensor A10,sensor A11,sensor A12,sensor A13
14.3,42.1,42.3,42.9,43.6,42.7,42.2,42.2,42.4,40.6
17.7,42.9,42.8,43.2,43.7,42.9,41.9,42.4,42.2,41.6
16.9,43.2,43.2,43.6,44.0,42.6,42.0,43.0,42.6,41.6
18.4,43.1,43.4,43.5,44.2,42.8,42.2,43.0,42.1,41.7
18.4,43.1,43.4,43.5,44.2,42.8,42.2,43.0,42.1,41.7
15.6,43.7,43.7,43.9,43.8,42.5,42.0,43.3,41.9,41.7
12.8,43.9,42.2,44.4,43.1,42.6,41.1,43.1,42.5,42.2
11.4,43.5,41.9,44.5,42.2,43.1,41.1,42.2,42.1,42.0
11.4,43.5,41.9,44.5,42.2,43.1,41.1,42.2,42.1,42.0
13.6,43.3,42.8,43.7,42.2,42.2,40.9,41.9,40.8,41.3
11.8,42.2,43.0,43.1,42.1,42.2,40.2,41.1,41.1,40.3
9.6,41.4,42.8,42.2,42.1,41.5,39.9,40.5,40.2,41.2
9.6,41.4,42.8,42.2,42.1,41.5,39.9,40.5,40.2,41.2
13.3,41.8,43.6,42.0,42.1,41.3,39.6,41.8,40.6,41.6
12.5,41.1,43.4,42.3,42.1,40.4,39.9,42.0,40.5,42.1
12.5,42.0,42.6,42.7,41.9,40.3,39.2,42.0,40.4,41.7
12.5,42.0,42.6,42.7,41.9,40.3,39.2,42.0,40.4,41.7
12.5,42.0,42.5,42.9,40.9,40.3,40.1,42.7,40.7,41.9
12.1,41.8,43.2,43.5,41.4,40.1,40.2,42.2,41.0,41.1
10.6,42.3,42.5,44.2,41.4,40.7,40.3,41.5,40.9,41.3
10.6,42.3,42.5,44.2,41.4,40.7,40.3,41.5,40.9,41.3
9.1,41.7,43.1,44.2,41.4,39.8,40.6,42.1,41.5,40.9
8.5,42.3,43.5,43.7,42.1,40.7,41.4,43.3,41.4,41.8
9.5,42.1,42.8,43.7,42.2,41.1,41.9,43.8,41.1,42.0
9.5,42.1,42.8,43.7,42.2,41.1,41.9,43.8,41.1,42.0
12.7,42.4,42.8,44.4,42.9,41.8,43.1,43.5,41.3,42.5
12.3,42.6,42.6,44.6,43.8,42.3,43.4,42.6,41.4,42.5
10.2,42.1,42.0,44.2,43.6,42.3,44.0,42.8,41.7,42.2
10.2,42.1,42.0,44.2,43.6,42.3,44.0,42.8,41.7,42.2
12.7,42.7,42.3,43.6,43.3,42.5,42.9,43.1,41.4,41.7
10.0,41.7,42.4,43.7,43.9,43.2,43.2,43.2,41.5,42.2
13.9,41.9,42.8,43.3,43.1,42.4,43.0,43.2,40.8,41.3
13.9,41.9,42.8,43.3,43.1,42.4,43.0,43.2,40.8,41.3
11.8,41.4,41.8,43.5,42.7,42.3,42.4,42.6,41.3,42.1
9.6,42.0,42.9,43.1,42.0,42.3,42.8,43.4,41.4,42.5
7.7,41.7,43.2,43.0,42.0,42.3,41.9,42.3,41.1,41.9
7.7,41.7,43.2,43.0,42.0,42.3,41.9,42.3,41.1,41.9
12.0,41.7,44.2,43.7,42.0,42.1,41.7,41.9,41.5,41.4
14.4,42.5,44.9,44.2,42.4,43.1,41.6,41.5,41.6,41.5
14.4,42.5,44.9,44.2,42.4,43.1,41.6,41.5,41.6,41.5
15.5,42.9,45.5,44.6,42.7,43.8,41.0,41.4,41.8,41.0
13.5,42.8,45.0,44.5,43.2,43.9,41.3,41.1,42.3,40.8
13.1,42.0,44.4,43.6,43.0,44.0,41.3,41.5,42.2,41.2
13.1,42.0,44.4,43.6,43.0,44.0,41.3,41.5,42.2,41.2
15.5,42.8,44.5,43.3,43.7,44.2,41.8,42.3,42.5,41.4
18.0,43.1,44.4,43.3,43.9,44.8,42.5,42.9,43.3,41.8
19.5,43.1,45.4,43.2,45.0,45.4,42.4,42.6,43.4,42.5
19.5,43.1,45.4,43.2,45.0,45.4,42.4,42.6,43.4,42.5
19.4,43.5,44.3,43.3,44.7,45.9,43.2,43.7,44.0,42.8
19.5,44.2,44.3,43.7,44.6,45.9,42.7,43.5,44.3,43.2
19.9,44.2,45.0,44.5,45.6,45.8,43.4,43.7,44.2,43.0
19.9,44.2,45.0,44.5,45.6,45.8,43.4,43.7,44.2,43.0
19.9,44.3,44.8,44.5,45.3,45.1,43.6,44.3,44.5,43.0
19.8,44.3,44.8,44.1,46.2,44.8,44.1,44.7,44.6,43.4
21.0,44.2,44.7,44.2,45.8,45.1,44.0,44.6,45.2,43.5
21.0,44.2,44.7,44.2,45.8,45.1,44.0,44.6,45.2,43.5
21.4,44.9,45.5,44.5,46.0,45.2,43.7,45.0,44.6,43.6
21.1,45.5,45.6,44.4,45.6,45.7,43.9,45.6,45.1,44.3
22.1,45.5,46.5,44.5,46.4,44.8,44.5,46.1,45.2,43.5
22.1,45.5,46.5,44.5,46.4,44.8,44.5,46.1,45.2,43.5
21.9,45.2,46.6,43.8,46.0,44.4,44.4,45.6,45.2,43.2
21.2,44.8,45.9,44.0,45.7,43.9,44.2,44.8,44.4,42.6
19.4,45.4,45.9,44.2,45.2,43.3,44.2,44.8,45.0,43.0
19.4,45.4,45.9,44.2,45.2,43.3,44.2,44.8,45.0,43.0
19.6,45.6,45.3,44.9,44.5,42.7,44.3,45.7,45.3,42.2
20.4,44.9,46.2,44.6,44.2,43.6,44.9,46.1,45.1,42.2
18.7,44.6,46.3,45.4,44.4,43.7,45.2,46.1,45.4,42.3
18.7,44.6,46.3,45.4,44.4,43.7,45.2,46.1,45.4,42.3
16.4,44.0,46.3,45.0,44.5,43.3,44.8,45.5,45.6,42.7
14.7,44.4,46.5,45.8,44.7,43.1,44.0,44.9,46.0,42.3
13.8,44.6,46.3,46.0,45.2,42.8,44.0,43.6,45.4,43.0
13.8,44.6,46.3,46.0,45.2,42.8,44.0,43.6,45.4,43.0
15.3,44.8,45.8,45.7,44.9,42.5,44.1,43.4,44.4,43.5
16.6,44.4,45.4,46.0,46.1,42.0,44.9,43.8,44.4,44.0
16.1,44.4,45.3,45.7,46.4,42.0,44.9,44.1,44.6,44.6
16.1,44.4,45.3,45.7,46.4,42.0,44.9,44.1,44.6,44.6
17.0,44.3,44.4,46.5,45.9,42.7,45.3,44.4,45.4,45.1
17.1,44.9,44.9,45.8,46.1,43.4,45.3,43.9,45.3,45.4
17.3,44.1,45.2,45.9,46.3,43.5,45.0,44.2,44.7,45.0
