,min,max,mean,median,max-min magnitude,std_dev,variance
sensor A4,0.0,45.1,7.516286644951152,5.2,45.1,10.447237269158242,109.14476655808896
sensor A5,37.6,45.8,40.534527687296475,40.2,8.199999999999996,1.697820600809039,2.8825947925315667
sensor A6,38.7,47.8,41.64625407166121,41.2,9.099999999999994,1.815009310714888,3.294258797981733
sensor A7,38.9,47.7,41.54820846905538,41.1,8.800000000000004,1.7591279355560017,3.0945310936535204
sensor A8,38.4,47.6,41.619218241042354,41.3,9.200000000000003,1.7624965696697266,3.1063941580975536
sensor A9,37.7,44.9,40.480781758957704,40.3,7.199999999999996,1.6551332434346135,2.739466053522384
sensor A10,37.9,45.5,40.62866449511403,40.3,7.600000000000001,1.6504185965782638,2.723881543931366
sensor A11,37.4,45.5,40.32638436482084,40.0,8.100000000000001,1.6966482593139869,2.8786153158331818
sensor A12,37.3,45.3,40.35081433224754,40.1,8.0,1.7216492476928917,2.9640761320815003
sensor A13,36.6,44.6,39.524755700325734,39.2,8.0,1.8128011191630944,3.2862478976389675
